"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
30172,1,8,2000,2,"NL","F",30,137,"Neotoma","albigula","Rodent","Control"
30174,1,8,2000,2,"NL","F",33,181,"Neotoma","albigula","Rodent","Control"
30175,1,8,2000,2,"NL","M",34,265,"Neotoma","albigula","Rodent","Control"
30307,2,5,2000,2,"NL","F",33,185,"Neotoma","albigula","Rodent","Control"
30308,2,5,2000,2,"NL","F",31,144,"Neotoma","albigula","Rodent","Control"
30309,2,5,2000,2,"NL","",NA,183,"Neotoma","albigula","Rodent","Control"
30443,3,4,2000,2,"NL","M",33,184,"Neotoma","albigula","Rodent","Control"
30741,6,3,2000,2,"NL","F",33,158,"Neotoma","albigula","Rodent","Control"
31516,11,25,2000,2,"NL","F",29,200,"Neotoma","albigula","Rodent","Control"
31517,11,25,2000,2,"NL","M",32,228,"Neotoma","albigula","Rodent","Control"
31633,12,22,2000,2,"NL","F",31,173,"Neotoma","albigula","Rodent","Control"
31717,1,21,2001,2,"NL","M",33,121,"Neotoma","albigula","Rodent","Control"
31721,1,21,2001,2,"NL","F",31,158,"Neotoma","albigula","Rodent","Control"
31862,3,24,2001,2,"NL","F",32,252,"Neotoma","albigula","Rodent","Control"
31946,4,21,2001,2,"NL","F",33,145,"Neotoma","albigula","Rodent","Control"
32045,5,26,2001,2,"NL","M",32,135,"Neotoma","albigula","Rodent","Control"
32167,6,25,2001,2,"NL","F",30,173,"Neotoma","albigula","Rodent","Control"
32391,8,25,2001,2,"NL","F",33,193,"Neotoma","albigula","Rodent","Control"
32817,10,13,2001,2,"NL","F",29,72,"Neotoma","albigula","Rodent","Control"
33040,11,17,2001,2,"NL","F",31,119,"Neotoma","albigula","Rodent","Control"
33041,11,17,2001,2,"NL","F",33,213,"Neotoma","albigula","Rodent","Control"
33237,12,15,2001,2,"NL","F",33,126,"Neotoma","albigula","Rodent","Control"
33238,12,15,2001,2,"NL","F",32,198,"Neotoma","albigula","Rodent","Control"
33339,1,12,2002,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
33415,2,9,2002,2,"NL","M",33,120,"Neotoma","albigula","Rodent","Control"
33583,3,13,2002,2,"NL","M",32,136,"Neotoma","albigula","Rodent","Control"
33586,3,13,2002,2,"NL","F",32,196,"Neotoma","albigula","Rodent","Control"
33837,4,17,2002,2,"NL","F",NA,190,"Neotoma","albigula","Rodent","Control"
33847,4,17,2002,2,"NL","F",30,149,"Neotoma","albigula","Rodent","Control"
33966,5,15,2002,2,"NL","F",31,188,"Neotoma","albigula","Rodent","Control"
34198,6,15,2002,2,"NL","F",31,139,"Neotoma","albigula","Rodent","Control"
34783,10,5,2002,2,"NL","M",36,226,"Neotoma","albigula","Rodent","Control"
34991,11,9,2002,2,"NL","M",33,238,"Neotoma","albigula","Rodent","Control"
35212,12,7,2002,2,"NL","M",33,248,"Neotoma","albigula","Rodent","Control"
35404,12,29,2002,2,"NL","F",30,NA,"Neotoma","albigula","Rodent","Control"
31215,8,25,2000,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
31386,9,30,2000,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
31515,11,25,2000,2,"DM","F",35,43,"Dipodomys","merriami","Rodent","Control"
31632,12,22,2000,2,"DM","F",34,44,"Dipodomys","merriami","Rodent","Control"
31718,1,21,2001,2,"DM","F",34,44,"Dipodomys","merriami","Rodent","Control"
31792,3,3,2001,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
31858,3,24,2001,2,"DM","M",37,53,"Dipodomys","merriami","Rodent","Control"
31859,3,24,2001,2,"DM","F",36,60,"Dipodomys","merriami","Rodent","Control"
31860,3,24,2001,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
31861,3,24,2001,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
31945,4,21,2001,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
31948,4,21,2001,2,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
32380,8,25,2001,2,"DM","F",36,49,"Dipodomys","merriami","Rodent","Control"
32386,8,25,2001,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
32601,9,22,2001,2,"DM","M",34,24,"Dipodomys","merriami","Rodent","Control"
32604,9,22,2001,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
32605,9,22,2001,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
32607,9,22,2001,2,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
32822,10,13,2001,2,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
32827,10,13,2001,2,"DM","F",36,47,"Dipodomys","merriami","Rodent","Control"
32828,10,13,2001,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
33027,11,17,2001,2,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
33035,11,17,2001,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
33232,12,15,2001,2,"DM","F",36,45,"Dipodomys","merriami","Rodent","Control"
33234,12,15,2001,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
33329,1,12,2002,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
33336,1,12,2002,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
33410,2,9,2002,2,"DM","F",35,46,"Dipodomys","merriami","Rodent","Control"
33579,3,13,2002,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
33580,3,13,2002,2,"DM","M",36,55,"Dipodomys","merriami","Rodent","Control"
33581,3,13,2002,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
33842,4,17,2002,2,"DM","F",35,51,"Dipodomys","merriami","Rodent","Control"
33844,4,17,2002,2,"DM","F",34,30,"Dipodomys","merriami","Rodent","Control"
33958,5,15,2002,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
34192,6,15,2002,2,"DM","F",35,50,"Dipodomys","merriami","Rodent","Control"
34428,7,13,2002,2,"DM","F",34,46,"Dipodomys","merriami","Rodent","Control"
34672,9,8,2002,2,"DM","F",37,45,"Dipodomys","merriami","Rodent","Control"
34985,11,9,2002,2,"DM","M",35,55,"Dipodomys","merriami","Rodent","Control"
34987,11,9,2002,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
35210,12,7,2002,2,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
35397,12,29,2002,2,"DM","F",34,34,"Dipodomys","merriami","Rodent","Control"
31520,11,25,2000,2,"PE","M",20,23,"Peromyscus","eremicus","Rodent","Control"
32815,10,13,2001,2,"PE","M",20,31,"Peromyscus","eremicus","Rodent","Control"
33032,11,17,2001,2,"PE","F",20,21,"Peromyscus","eremicus","Rodent","Control"
33036,11,17,2001,2,"PE","M",19,22,"Peromyscus","eremicus","Rodent","Control"
33228,12,15,2001,2,"PE","F",20,20,"Peromyscus","eremicus","Rodent","Control"
33231,12,15,2001,2,"PE","M",20,22,"Peromyscus","eremicus","Rodent","Control"
33331,1,12,2002,2,"PE","F",21,23,"Peromyscus","eremicus","Rodent","Control"
33411,2,9,2002,2,"PE","M",19,25,"Peromyscus","eremicus","Rodent","Control"
33953,5,15,2002,2,"PE","F",20,16,"Peromyscus","eremicus","Rodent","Control"
33963,5,15,2002,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
34194,6,15,2002,2,"PE","F",21,25,"Peromyscus","eremicus","Rodent","Control"
34426,7,13,2002,2,"PE","F",21,22,"Peromyscus","eremicus","Rodent","Control"
35201,12,7,2002,2,"PE","F",21,28,"Peromyscus","eremicus","Rodent","Control"
35209,12,7,2002,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
30170,1,8,2000,2,"PP","M",21,17,"Chaetodipus","penicillatus","Rodent","Control"
30301,2,5,2000,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
30302,2,5,2000,2,"PP","F",22,17,"Chaetodipus","penicillatus","Rodent","Control"
30304,2,5,2000,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
30306,2,5,2000,2,"PP","M",22,17,"Chaetodipus","penicillatus","Rodent","Control"
30431,3,4,2000,2,"PP","M",22,21,"Chaetodipus","penicillatus","Rodent","Control"
30432,3,4,2000,2,"PP","F",23,17,"Chaetodipus","penicillatus","Rodent","Control"
30434,3,4,2000,2,"PP","M",22,22,"Chaetodipus","penicillatus","Rodent","Control"
30439,3,4,2000,2,"PP","M",22,19,"Chaetodipus","penicillatus","Rodent","Control"
30608,4,30,2000,2,"PP","M",22,22,"Chaetodipus","penicillatus","Rodent","Control"
30609,4,30,2000,2,"PP","M",21,19,"Chaetodipus","penicillatus","Rodent","Control"
30733,6,3,2000,2,"PP","M",27,10,"Chaetodipus","penicillatus","Rodent","Control"
30740,6,3,2000,2,"PP","M",22,14,"Chaetodipus","penicillatus","Rodent","Control"
30913,7,1,2000,2,"PP","F",21,16,"Chaetodipus","penicillatus","Rodent","Control"
30915,7,1,2000,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
31106,7,22,2000,2,"PP","M",23,17,"Chaetodipus","penicillatus","Rodent","Control"
31107,7,22,2000,2,"PP","M",22,14,"Chaetodipus","penicillatus","Rodent","Control"
31108,7,22,2000,2,"PP","M",23,15,"Chaetodipus","penicillatus","Rodent","Control"
31204,8,25,2000,2,"PP","F",21,14,"Chaetodipus","penicillatus","Rodent","Control"
31207,8,25,2000,2,"PP","M",23,17,"Chaetodipus","penicillatus","Rodent","Control"
31208,8,25,2000,2,"PP","M",22,15,"Chaetodipus","penicillatus","Rodent","Control"
31209,8,25,2000,2,"PP","F",22,15,"Chaetodipus","penicillatus","Rodent","Control"
31211,8,25,2000,2,"PP","M",23,19,"Chaetodipus","penicillatus","Rodent","Control"
31214,8,25,2000,2,"PP","M",23,17,"Chaetodipus","penicillatus","Rodent","Control"
31387,9,30,2000,2,"PP","M",22,15,"Chaetodipus","penicillatus","Rodent","Control"
31389,9,30,2000,2,"PP","M",22,17,"Chaetodipus","penicillatus","Rodent","Control"
31944,4,21,2001,2,"PP","F",22,21,"Chaetodipus","penicillatus","Rodent","Control"
31947,4,21,2001,2,"PP","M",22,24,"Chaetodipus","penicillatus","Rodent","Control"
32162,6,25,2001,2,"PP","M",22,22,"Chaetodipus","penicillatus","Rodent","Control"
32163,6,25,2001,2,"PP","M",23,16,"Chaetodipus","penicillatus","Rodent","Control"
32164,6,25,2001,2,"PP","M",22,17,"Chaetodipus","penicillatus","Rodent","Control"
32378,8,25,2001,2,"PP","M",23,19,"Chaetodipus","penicillatus","Rodent","Control"
32379,8,25,2001,2,"PP","F",22,17,"Chaetodipus","penicillatus","Rodent","Control"
32381,8,25,2001,2,"PP","M",22,NA,"Chaetodipus","penicillatus","Rodent","Control"
32387,8,25,2001,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
32388,8,25,2001,2,"PP","M",23,NA,"Chaetodipus","penicillatus","Rodent","Control"
32599,9,22,2001,2,"PP","M",22,20,"Chaetodipus","penicillatus","Rodent","Control"
32606,9,22,2001,2,"PP","M",24,19,"Chaetodipus","penicillatus","Rodent","Control"
32608,9,22,2001,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
32609,9,22,2001,2,"PP","M",23,17,"Chaetodipus","penicillatus","Rodent","Control"
32819,10,13,2001,2,"PP","M",23,19,"Chaetodipus","penicillatus","Rodent","Control"
32824,10,13,2001,2,"PP","M",23,19,"Chaetodipus","penicillatus","Rodent","Control"
32830,10,13,2001,2,"PP","M",21,16,"Chaetodipus","penicillatus","Rodent","Control"
33034,11,17,2001,2,"PP","M",21,16,"Chaetodipus","penicillatus","Rodent","Control"
33226,12,15,2001,2,"PP","M",21,17,"Chaetodipus","penicillatus","Rodent","Control"
33412,2,9,2002,2,"PP","M",22,17,"Chaetodipus","penicillatus","Rodent","Control"
33578,3,13,2002,2,"PP","M",22,20,"Chaetodipus","penicillatus","Rodent","Control"
33584,3,13,2002,2,"PP","M",23,23,"Chaetodipus","penicillatus","Rodent","Control"
33843,4,17,2002,2,"PP","F",22,14,"Chaetodipus","penicillatus","Rodent","Control"
33845,4,17,2002,2,"PP","M",23,22,"Chaetodipus","penicillatus","Rodent","Control"
33846,4,17,2002,2,"PP","F",21,17,"Chaetodipus","penicillatus","Rodent","Control"
33957,5,15,2002,2,"PP","M",23,22,"Chaetodipus","penicillatus","Rodent","Control"
33959,5,15,2002,2,"PP","F",22,20,"Chaetodipus","penicillatus","Rodent","Control"
33965,5,15,2002,2,"PP","F",22,18,"Chaetodipus","penicillatus","Rodent","Control"
